umap1,umap2,cat
11.482209,10.361838,4
4.6483827,7.6252747,4
15.98989,11.42251,4
4.735451,7.701675,4
4.658171,7.64068,4
7.284875,11.342571,4
15.76455,11.530288,4
4.6890364,7.677032,4
7.3467846,11.289801,4
7.364452,11.25854,4
4.628946,7.628714,4
16.197111,11.30254,4
4.621053,7.610249,4
4.829341,7.714362,4
8.647841,11.252171,4
4.647352,7.6393905,4
4.5811796,7.570174,4
4.583336,7.5748267,4
4.585748,7.5766916,4
4.678518,7.661075,4
4.6407523,7.6210628,4
4.5872645,7.580695,4
4.5873404,7.5790086,4
17.002308,10.955763,4
4.6098466,7.636874,4
4.628303,7.632563,4
4.630499,7.631756,4
16.178297,11.310056,4
16.320112,11.272606,4
16.32364,11.273773,4
16.716427,11.132959,4
16.413809,3.978074,4
18.74281,7.704416,4
6.840894,9.626002,4
-3.4589062,13.911143,4
4.496608,11.395013,4
4.551624,11.391779,4
8.810336,18.73928,4
14.71616,7.3160377,4
8.810901,18.741634,4
14.697007,7.3196597,4
10.373585,17.261034,4
14.704032,7.324274,4
-1.1966119,12.730424,4
-1.1980147,12.724457,4
-1.197125,12.724686,4
3.7301798,11.627036,4
3.7284594,11.626946,4
3.757186,11.612618,4
3.7637517,11.610443,4
16.594437,15.644563,4
16.766256,15.48392,4
16.715576,15.534604,4
16.694109,15.552422,4
16.745716,15.503134,4
16.817757,15.43369,4
-8.451874,7.5727625,4
1.8870374,9.936349,4
1.8870586,9.9378195,4
1.8863616,9.936398,4
1.8843389,9.941587,4
1.8846195,9.940458,4
1.8907791,9.934523,4
4.8220577,7.7318482,4
16.337814,15.876341,4
1.8861196,9.936328,4
-1.5603812,15.016132,4
-1.5534431,15.018407,4
-1.5588521,15.016031,4
-1.5401558,15.024377,4
-1.5395595,15.023301,4
-1.5385609,15.022824,4
-1.5146179,15.051293,4
-1.537581,15.02569,4
-1.5385145,15.025706,4
-3.4574215,13.893639,4
-4.7705035,10.595919,4
-5.6007147,10.504754,4
-5.7419143,10.491776,4
-5.797885,11.030857,4
-5.8351173,10.660285,4
-5.8145137,11.034434,4
-5.8181934,10.621688,4
-5.844104,10.662767,4
-5.7711887,10.608666,4
-5.753965,10.538375,4
-5.653561,10.498833,4
-5.6501117,10.469652,4
-5.7650867,10.593273,4
-4.9244876,10.66177,4
-4.845763,10.695803,4
-5.799594,10.826854,4
-5.8217998,10.914948,4
-5.7862377,10.62015,4
-5.8078136,10.627823,4
-5.8646173,10.758974,4
-5.7661905,10.562213,4
-5.7615337,10.547481,4
-5.6441193,10.484592,4
-5.7765102,10.58792,4
