umap1,umap2,cat
-9.018932,5.8304353,Alaskan ultramafic
-0.5187726,10.454515,Alaskan ultramafic
-5.1434503,1.5346164,Alaskan ultramafic
-0.665261,10.645805,Alaskan ultramafic
-0.3451072,10.276991,Alaskan ultramafic
0.34895623,10.429314,Alaskan ultramafic
-5.1643314,1.5349339,Alaskan ultramafic
-0.5586607,10.51342,Alaskan ultramafic
0.39910078,10.590991,Alaskan ultramafic
0.3235606,10.483844,Alaskan ultramafic
-0.13079108,10.296351,Alaskan ultramafic
-5.148934,1.5440544,Alaskan ultramafic
-0.146958,10.316633,Alaskan ultramafic
-0.78564745,10.708297,Alaskan ultramafic
-0.7794125,10.876028,Alaskan ultramafic
-0.13212012,10.297134,Alaskan ultramafic
0.29939187,10.184466,Alaskan ultramafic
0.28595847,10.179299,Alaskan ultramafic
0.35013536,10.184068,Alaskan ultramafic
-0.40374684,10.3260565,Alaskan ultramafic
-0.20278971,10.311624,Alaskan ultramafic
0.12907156,10.309753,Alaskan ultramafic
0.13957298,10.270112,Alaskan ultramafic
-6.2126985,-0.94929653,Alaskan ultramafic
-0.13220584,10.283762,Alaskan ultramafic
-0.1483962,10.299156,Alaskan ultramafic
-0.13700603,10.262665,Alaskan ultramafic
-5.1167216,1.5428369,Alaskan ultramafic
-5.1343513,1.5390743,Alaskan ultramafic
-5.127107,1.5401301,Alaskan ultramafic
-6.11302,-0.6244412,Alaskan ultramafic
-2.2696393,4.466062,Alaskan ultramafic
-4.34459,-2.2815452,Alaskan ultramafic
2.796345,9.724701,Alaskan ultramafic
10.901304,10.985276,Alaskan ultramafic
4.577383,11.417162,Alaskan ultramafic
4.5092187,11.551685,Alaskan ultramafic
3.0011349,2.951465,Alaskan ultramafic
-5.258369,-3.2877324,Alaskan ultramafic
3.0033374,2.9496393,Alaskan ultramafic
-5.4502654,-3.3416889,Alaskan ultramafic
-8.681594,-1.0007255,Alaskan ultramafic
-5.3969336,-3.2968864,Alaskan ultramafic
2.2302003,18.423063,Alaskan ultramafic
8.512681,1.1345764,Alaskan ultramafic
8.512227,1.139716,Alaskan ultramafic
4.1298366,2.1560009,Alaskan ultramafic
4.129895,2.1586015,Alaskan ultramafic
