umap1,umap2,cat
14.764217,7.972602,Alaskan ultramafic
13.979571,8.286986,Alaskan ultramafic
18.63937,7.021948,Alaskan ultramafic
14.176806,8.940736,Alaskan ultramafic
21.480745,10.824246,Alaskan ultramafic
11.346791,9.222361,Alaskan ultramafic
18.660124,7.0324626,Alaskan ultramafic
14.1486845,8.813335,Alaskan ultramafic
11.574973,9.364887,Alaskan ultramafic
11.232883,9.11302,Alaskan ultramafic
10.841416,7.2646856,Alaskan ultramafic
18.605644,7.0063663,Alaskan ultramafic
10.940255,7.3760014,Alaskan ultramafic
14.2227545,8.943565,Alaskan ultramafic
13.248194,9.281015,Alaskan ultramafic
10.861846,7.307281,Alaskan ultramafic
8.187844,8.072046,Alaskan ultramafic
8.187139,8.089553,Alaskan ultramafic
8.173139,8.104725,Alaskan ultramafic
21.464869,10.878624,Alaskan ultramafic
10.801559,7.182368,Alaskan ultramafic
8.57157,7.8538017,Alaskan ultramafic
8.509927,7.820499,Alaskan ultramafic
20.687628,6.261137,Alaskan ultramafic
10.88186,7.311555,Alaskan ultramafic
10.829303,7.227149,Alaskan ultramafic
10.826284,7.2340236,Alaskan ultramafic
18.584034,7.0026493,Alaskan ultramafic
18.607422,7.008319,Alaskan ultramafic
18.595266,7.0038724,Alaskan ultramafic
21.630966,6.6656156,Alaskan ultramafic
13.534053,0.57281595,Alaskan ultramafic
22.299719,4.0546284,Alaskan ultramafic
4.749534,4.9931793,Alaskan ultramafic
2.9173174,13.297931,Alaskan ultramafic
4.2115703,9.602567,Alaskan ultramafic
5.1107736,10.003197,Alaskan ultramafic
10.28197,12.110129,Alaskan ultramafic
23.488749,4.489393,Alaskan ultramafic
10.289035,12.097755,Alaskan ultramafic
23.43971,4.5508113,Alaskan ultramafic
19.994757,9.247641,Alaskan ultramafic
23.447695,4.5541115,Alaskan ultramafic
8.90778,16.282763,Alaskan ultramafic
10.334437,6.0920568,Alaskan ultramafic
10.324979,6.1042004,Alaskan ultramafic
10.3187895,6.099437,Alaskan ultramafic
10.309984,6.1141644,Alaskan ultramafic
21.527086,11.47254,Alaskan ultramafic
21.074356,11.197487,Alaskan ultramafic
21.04992,11.223601,Alaskan ultramafic
21.158245,11.253593,Alaskan ultramafic
21.37227,11.181847,Alaskan ultramafic
21.415543,10.997305,Alaskan ultramafic
4.645177,12.066418,Alaskan ultramafic
11.881532,5.0196238,Alaskan ultramafic
11.866304,5.0016794,Alaskan ultramafic
11.894837,5.137151,Alaskan ultramafic
11.891459,5.131826,Alaskan ultramafic
11.898361,5.150565,Alaskan ultramafic
11.880915,5.054506,Alaskan ultramafic
21.508976,11.599076,Alaskan ultramafic
11.933752,5.5044246,Alaskan ultramafic
11.902733,5.1442137,Alaskan ultramafic
0.8855117,14.126007,Alaskan ultramafic
0.9682389,14.141591,Alaskan ultramafic
0.91345656,14.122823,Alaskan ultramafic
1.2236714,14.109641,Alaskan ultramafic
1.3096011,14.041726,Alaskan ultramafic
1.2522417,14.099566,Alaskan ultramafic
1.1179745,14.095934,Alaskan ultramafic
1.2620581,14.071165,Alaskan ultramafic
1.2196832,14.070737,Alaskan ultramafic
2.998048,13.369025,Alaskan ultramafic
2.669388,9.156675,Alaskan ultramafic
0.5580692,9.22172,Alaskan ultramafic
-0.39903608,9.365673,Alaskan ultramafic
0.25140512,10.02065,Alaskan ultramafic
-1.0080954,9.518767,Alaskan ultramafic
0.113474056,9.940404,Alaskan ultramafic
-1.967885,9.936673,Alaskan ultramafic
-2.0419774,9.921003,Alaskan ultramafic
-1.8061831,9.706634,Alaskan ultramafic
-0.6433301,9.426708,Alaskan ultramafic
0.5009861,9.348481,Alaskan ultramafic
0.29242745,9.188558,Alaskan ultramafic
-1.7650799,9.70245,Alaskan ultramafic
2.0624049,9.477698,Alaskan ultramafic
2.7248037,9.127691,Alaskan ultramafic
-0.7482905,9.709697,Alaskan ultramafic
0.029182937,9.793274,Alaskan ultramafic
-1.9723449,9.9353895,Alaskan ultramafic
-1.9681205,9.917829,Alaskan ultramafic
-0.8178408,9.570556,Alaskan ultramafic
-0.50491583,9.38527,Alaskan ultramafic
-1.8381425,9.761213,Alaskan ultramafic
0.4395932,9.224847,Alaskan ultramafic
-2.1336994,9.853083,Alaskan ultramafic
-1.8616836,9.821949,Alaskan ultramafic
-2.1750102,9.821531,Alaskan ultramafic
-2.256099,9.822676,Alaskan ultramafic
-2.1863337,9.821579,Alaskan ultramafic
-1.9682231,9.868043,Alaskan ultramafic
-2.250948,9.809393,Alaskan ultramafic
-2.1646118,9.823616,Alaskan ultramafic
-2.199668,9.832616,Alaskan ultramafic
-2.2668183,9.848364,Alaskan ultramafic
-2.031627,9.92255,Alaskan ultramafic
-1.5299952,9.635479,Alaskan ultramafic
-1.6942251,9.677618,Alaskan ultramafic
-2.1258152,9.781244,Alaskan ultramafic
-1.9042106,9.626462,Alaskan ultramafic
-2.194475,9.779678,Alaskan ultramafic
-2.123404,9.747526,Alaskan ultramafic
-1.901147,9.685777,Alaskan ultramafic
-1.8118367,9.731433,Alaskan ultramafic
5.2592893,11.707286,Alaskan ultramafic
2.8714874,10.632932,Alaskan ultramafic
-0.32061446,9.343206,Alaskan ultramafic
-1.7943904,9.715454,Alaskan ultramafic
21.175283,11.251504,Alaskan ultramafic
21.400988,11.180452,Alaskan ultramafic
21.090178,11.25807,Alaskan ultramafic
21.330841,11.229595,Alaskan ultramafic
21.142529,11.269024,Alaskan ultramafic
21.441208,11.150788,Alaskan ultramafic
20.741787,11.287638,Alaskan ultramafic
21.261732,11.299472,Alaskan ultramafic
21.128801,11.27591,Alaskan ultramafic
20.772383,11.278023,Alaskan ultramafic
20.768423,11.279518,Alaskan ultramafic
20.740963,11.269909,Alaskan ultramafic
21.574537,10.793619,Alaskan ultramafic
21.548096,10.84348,Alaskan ultramafic
21.426472,11.147797,Alaskan ultramafic
21.392586,11.1609125,Alaskan ultramafic
11.905556,5.1400924,Alaskan ultramafic
11.905842,5.1818385,Alaskan ultramafic
11.906872,5.149811,Alaskan ultramafic
11.922667,5.08526,Alaskan ultramafic
11.872552,5.010057,Alaskan ultramafic
11.874585,5.013043,Alaskan ultramafic
11.868675,5.002173,Alaskan ultramafic
11.8757105,5.02408,Alaskan ultramafic
21.559135,11.511915,Alaskan ultramafic
21.67358,11.134484,Alaskan ultramafic
21.5458,11.528183,Alaskan ultramafic
21.581713,11.480864,Alaskan ultramafic
21.426256,11.64054,Alaskan ultramafic
21.418709,11.619839,Alaskan ultramafic
21.482067,11.532367,Alaskan ultramafic
21.507572,11.543598,Alaskan ultramafic
21.413012,11.598119,Alaskan ultramafic
21.404972,11.612111,Alaskan ultramafic
21.493273,11.529267,Alaskan ultramafic
21.491827,11.500325,Alaskan ultramafic
21.4814,11.518741,Alaskan ultramafic
21.515759,11.500857,Alaskan ultramafic
21.506763,11.548975,Alaskan ultramafic
21.547348,11.328038,Alaskan ultramafic
21.568546,11.493101,Alaskan ultramafic
21.588987,11.344759,Alaskan ultramafic
21.563232,11.52514,Alaskan ultramafic
21.5925,11.472536,Alaskan ultramafic
21.562654,11.47428,Alaskan ultramafic
21.626352,11.237348,Alaskan ultramafic
11.959592,5.542453,Alaskan ultramafic
11.942895,5.520938,Alaskan ultramafic
11.969925,5.5279098,Alaskan ultramafic
11.961996,5.5573554,Alaskan ultramafic
11.96848,5.558908,Alaskan ultramafic
11.975891,5.5784607,Alaskan ultramafic
12.010036,5.598041,Alaskan ultramafic
11.969855,5.5631037,Alaskan ultramafic
11.965242,5.543826,Alaskan ultramafic
11.9712715,5.5798197,Alaskan ultramafic
21.44627,11.598043,Alaskan ultramafic
21.429686,11.587265,Alaskan ultramafic
21.42017,11.592467,Alaskan ultramafic
21.586119,11.45989,Alaskan ultramafic
21.451546,11.585792,Alaskan ultramafic
21.570417,11.423785,Alaskan ultramafic
21.39089,11.642211,Alaskan ultramafic
21.41034,11.630403,Alaskan ultramafic
21.330832,11.552999,Alaskan ultramafic
21.40871,11.614079,Alaskan ultramafic
21.370018,11.452943,Alaskan ultramafic
21.389334,11.222553,Alaskan ultramafic
21.540878,11.308936,Alaskan ultramafic
21.391926,11.322552,Alaskan ultramafic
21.541548,11.425104,Alaskan ultramafic
11.911442,5.418366,Alaskan ultramafic
11.900461,5.431669,Alaskan ultramafic
11.916446,5.4617376,Alaskan ultramafic
11.91903,5.449504,Alaskan ultramafic
11.911536,5.474267,Alaskan ultramafic
11.855395,4.9981117,Alaskan ultramafic
11.866269,4.9973803,Alaskan ultramafic
11.905713,5.1700926,Alaskan ultramafic
