umap1,umap2,cat
12.80554,-1.6265123,DETRITAL
12.861638,-2.0237014,DETRITAL
10.976117,1.0478998,DETRITAL
8.414652,6.6498666,DETRITAL
8.299111,9.31732,DETRITAL
-7.0856843,10.119454,DETRITAL
17.433395,-1.7860028,DETRITAL
13.285309,5.7591786,DETRITAL
-9.289489,14.924911,DETRITAL
13.34616,-2.0716362,DETRITAL
-8.433506,7.4240255,DETRITAL
10.860068,6.997429,DETRITAL
9.224365,8.907051,DETRITAL
13.691675,8.919479,DETRITAL
9.19279,9.636095,DETRITAL
0.12310435,7.556188,DETRITAL
15.648958,-2.6588998,DETRITAL
14.848426,-3.0317843,DETRITAL
0.26243043,7.8753614,DETRITAL
15.249566,-2.7460663,DETRITAL
16.721458,-2.6028392,DETRITAL
8.35669,7.2037644,DETRITAL
15.955849,0.8737197,DETRITAL
9.038533,6.355496,DETRITAL
-8.246173,10.135059,DETRITAL
-5.443469,9.62986,DETRITAL
14.489186,-2.7540026,DETRITAL
16.720757,-2.8004265,DETRITAL
-2.608047,9.855358,DETRITAL
-9.082448,10.699236,DETRITAL
12.360454,3.1020298,DETRITAL
4.7871265,7.6427746,DETRITAL
8.768289,6.5318384,DETRITAL
-9.691829,8.485856,DETRITAL
8.600211,6.6373787,DETRITAL
4.0016465,5.6811976,DETRITAL
16.521038,-2.3668125,DETRITAL
16.30514,-2.766897,DETRITAL
13.669287,6.160729,DETRITAL
15.309197,-2.1357706,DETRITAL
14.372221,-2.2989075,DETRITAL
15.159295,-3.047725,DETRITAL
16.264616,-2.2310011,DETRITAL
8.615765,11.173828,DETRITAL
-9.070399,10.909928,DETRITAL
14.204639,-2.4965222,DETRITAL
2.5285325,6.593328,DETRITAL
15.1301,5.2740083,DETRITAL
12.883647,2.9668355,DETRITAL
-5.0729966,10.769528,DETRITAL
4.6305127,5.0897474,DETRITAL
-8.411396,9.930583,DETRITAL
4.019751,5.0116067,DETRITAL
-0.5069594,7.451134,DETRITAL
0.68669695,7.9746776,DETRITAL
14.162333,-3.074351,DETRITAL
-9.662709,8.710315,DETRITAL
16.258623,-2.204349,DETRITAL
-6.3838387,10.557209,DETRITAL
15.412917,-2.9705026,DETRITAL
13.117294,5.329139,DETRITAL
15.554726,5.627104,DETRITAL
14.974294,-3.1299653,DETRITAL
14.800857,-3.0967815,DETRITAL
16.526003,-2.1883276,DETRITAL
14.337398,-3.022026,DETRITAL
13.008279,2.791827,DETRITAL
16.621727,-2.719899,DETRITAL
10.56736,2.8136606,DETRITAL
15.765943,-2.1014457,DETRITAL
16.927263,1.6257453,DETRITAL
4.490851,6.6670136,DETRITAL
15.349141,-2.7600162,DETRITAL
16.186283,-2.7215664,DETRITAL
15.300733,-3.1928601,DETRITAL
9.044854,6.632867,DETRITAL
12.906154,2.7356434,DETRITAL
15.382625,-3.089769,DETRITAL
14.421668,-1.0455595,DETRITAL
16.034937,-2.642576,DETRITAL
16.315186,-2.0617583,DETRITAL
9.148518,6.7195487,DETRITAL
-6.134274,17.452774,DETRITAL
14.082805,-3.097511,DETRITAL
15.557818,5.7675557,DETRITAL
7.976713,6.716883,DETRITAL
9.860205,6.221134,DETRITAL
1.406336,-1.8429803,DETRITAL
8.935682,6.8473134,DETRITAL
15.074348,-2.3397865,DETRITAL
8.904019,8.51338,DETRITAL
15.536272,5.7951117,DETRITAL
16.724096,-2.5601938,DETRITAL
15.560624,5.8721104,DETRITAL
12.365536,6.9726186,DETRITAL
15.623702,5.812825,DETRITAL
9.76922,6.336707,DETRITAL
9.650061,6.144031,DETRITAL
15.839245,-3.1376457,DETRITAL
3.6346593,5.362263,DETRITAL
-9.960334,8.687178,DETRITAL
