umap1,umap2,cat
8.028346,1.4991248,Alaskan ultramafic
6.9135528,3.48014,Alaskan ultramafic
0.6789656,9.646327,Alaskan ultramafic
4.5979095,3.8846421,Alaskan ultramafic
14.86081,-2.901117,Alaskan ultramafic
5.547188,4.1653185,Alaskan ultramafic
0.7096106,9.6528,Alaskan ultramafic
4.790888,3.456538,Alaskan ultramafic
7.41387,7.015821,Alaskan ultramafic
8.699644,6.76542,Alaskan ultramafic
7.426396,3.4697335,Alaskan ultramafic
0.7384073,9.627196,Alaskan ultramafic
6.397709,3.9121668,Alaskan ultramafic
5.8248262,7.144768,Alaskan ultramafic
5.923168,7.448704,Alaskan ultramafic
15.241363,-2.5272748,Alaskan ultramafic
15.454635,-2.7386713,Alaskan ultramafic
15.457992,-2.730133,Alaskan ultramafic
15.386884,-2.667298,Alaskan ultramafic
15.235825,-2.508683,Alaskan ultramafic
7.225209,3.5420065,Alaskan ultramafic
14.941944,-2.9175823,Alaskan ultramafic
14.89554,-2.9563482,Alaskan ultramafic
-3.9856062,6.157512,Alaskan ultramafic
7.524926,3.418525,Alaskan ultramafic
15.085123,-2.605509,Alaskan ultramafic
15.069544,-2.5676422,Alaskan ultramafic
0.71274257,9.6407585,Alaskan ultramafic
0.70508873,9.637003,Alaskan ultramafic
0.7195205,9.641513,Alaskan ultramafic
-3.3462682,6.980659,Alaskan ultramafic
-1.9696568,-0.35739467,Alaskan ultramafic
-3.143128,3.671772,Alaskan ultramafic
8.977061,5.006174,Alaskan ultramafic
14.57482,5.627244,Alaskan ultramafic
9.988628,6.2626433,Alaskan ultramafic
9.987561,6.255329,Alaskan ultramafic
3.1429505,15.491719,Alaskan ultramafic
-4.947441,4.0554404,Alaskan ultramafic
3.1028054,15.547633,Alaskan ultramafic
-4.9670844,4.102571,Alaskan ultramafic
-0.30187908,7.7949724,Alaskan ultramafic
-4.936237,4.1264863,Alaskan ultramafic
9.458313,14.313968,Alaskan ultramafic
11.348856,2.4239807,Alaskan ultramafic
11.325029,2.4328718,Alaskan ultramafic
3.9990256,4.5870337,Alaskan ultramafic
3.995125,4.6024203,Alaskan ultramafic
-0.010856765,12.337274,Alaskan ultramafic
-0.23273677,11.392213,Alaskan ultramafic
-0.23655102,11.375814,Alaskan ultramafic
-0.15885806,11.66158,Alaskan ultramafic
-0.24533279,11.791553,Alaskan ultramafic
-0.22478813,11.678458,Alaskan ultramafic
17.188274,-0.18962495,Alaskan ultramafic
2.2466898,2.5639145,Alaskan ultramafic
2.2304323,2.5693495,Alaskan ultramafic
2.238167,2.5664973,Alaskan ultramafic
12.151277,3.3085966,Alaskan ultramafic
12.165773,3.3160245,Alaskan ultramafic
1.1865157,11.241131,Alaskan ultramafic
5.4473834,3.6871912,Alaskan ultramafic
0.70314926,11.631654,Alaskan ultramafic
12.157029,3.307975,Alaskan ultramafic
16.921186,4.1872406,Alaskan ultramafic
16.69914,4.155889,Alaskan ultramafic
16.812496,4.197074,Alaskan ultramafic
14.943629,5.471572,Alaskan ultramafic
14.145717,5.6098914,Alaskan ultramafic
14.179322,5.6239786,Alaskan ultramafic
16.708954,4.124902,Alaskan ultramafic
14.90565,5.458821,Alaskan ultramafic
14.954674,5.4854145,Alaskan ultramafic
14.5178995,5.6976213,Alaskan ultramafic
15.026806,9.070472,Alaskan ultramafic
15.926975,6.761886,Alaskan ultramafic
15.791003,6.2693534,Alaskan ultramafic
15.714934,6.5182257,Alaskan ultramafic
15.86358,6.580166,Alaskan ultramafic
15.417507,7.051176,Alaskan ultramafic
15.359397,5.0784364,Alaskan ultramafic
15.307704,4.751938,Alaskan ultramafic
15.353124,5.0842376,Alaskan ultramafic
15.5805855,5.7646694,Alaskan ultramafic
15.951885,6.735184,Alaskan ultramafic
15.978493,6.773608,Alaskan ultramafic
15.386135,5.190062,Alaskan ultramafic
14.978325,9.110712,Alaskan ultramafic
14.945704,9.174996,Alaskan ultramafic
15.390909,5.2300386,Alaskan ultramafic
15.788614,6.5670376,Alaskan ultramafic
15.335273,5.0889316,Alaskan ultramafic
15.407384,5.1955028,Alaskan ultramafic
15.840412,6.5954547,Alaskan ultramafic
15.538761,5.69597,Alaskan ultramafic
15.376087,5.173959,Alaskan ultramafic
15.9259405,6.7554555,Alaskan ultramafic
15.297073,4.188088,Alaskan ultramafic
15.526704,5.490851,Alaskan ultramafic
15.303204,4.1171875,Alaskan ultramafic
15.298791,4.0556498,Alaskan ultramafic
15.279437,4.1390457,Alaskan ultramafic
15.388113,5.182189,Alaskan ultramafic
15.283451,4.0583453,Alaskan ultramafic
15.297404,4.1271644,Alaskan ultramafic
15.286711,4.1151304,Alaskan ultramafic
15.284096,4.0503645,Alaskan ultramafic
15.282029,4.453977,Alaskan ultramafic
15.435382,5.461772,Alaskan ultramafic
15.46575,5.4606767,Alaskan ultramafic
15.30318,4.1434984,Alaskan ultramafic
15.264139,5.036529,Alaskan ultramafic
15.31145,4.080011,Alaskan ultramafic
15.298392,4.09964,Alaskan ultramafic
15.299554,5.059138,Alaskan ultramafic
15.369837,5.1829534,Alaskan ultramafic
17.105415,-0.17403543,Alaskan ultramafic
16.964024,0.015818581,Alaskan ultramafic
15.527222,5.7281055,Alaskan ultramafic
15.354064,5.199574,Alaskan ultramafic
-0.17857037,11.731832,Alaskan ultramafic
-0.3223522,11.939862,Alaskan ultramafic
-0.13789664,11.635556,Alaskan ultramafic
-0.31899807,11.916194,Alaskan ultramafic
-0.17793691,11.760267,Alaskan ultramafic
-0.37977856,12.041832,Alaskan ultramafic
-0.2081028,11.346416,Alaskan ultramafic
-0.24647886,11.901174,Alaskan ultramafic
-0.12337045,11.7444935,Alaskan ultramafic
-0.22008693,11.334321,Alaskan ultramafic
-0.20899509,11.360516,Alaskan ultramafic
-0.12139198,11.362611,Alaskan ultramafic
-0.18926199,11.362558,Alaskan ultramafic
-0.1971341,11.370334,Alaskan ultramafic
-0.32598934,11.946883,Alaskan ultramafic
-0.34578094,11.971277,Alaskan ultramafic
2.225315,2.571069,Alaskan ultramafic
2.2216787,2.571826,Alaskan ultramafic
2.2279794,2.5664601,Alaskan ultramafic
12.166033,3.3038812,Alaskan ultramafic
1.2255822,11.204557,Alaskan ultramafic
1.2233828,11.20145,Alaskan ultramafic
1.2315452,11.198255,Alaskan ultramafic
1.2137853,11.210035,Alaskan ultramafic
-0.013068397,12.336187,Alaskan ultramafic
-0.10453779,12.366363,Alaskan ultramafic
-0.024331467,12.346357,Alaskan ultramafic
-0.05472299,12.352913,Alaskan ultramafic
0.23452584,12.088215,Alaskan ultramafic
0.09189071,12.142936,Alaskan ultramafic
0.06799507,12.240526,Alaskan ultramafic
0.027874678,12.303497,Alaskan ultramafic
0.123261265,12.166441,Alaskan ultramafic
0.17328586,12.113053,Alaskan ultramafic
0.05750482,12.29036,Alaskan ultramafic
0.062321413,12.260658,Alaskan ultramafic
0.076326884,12.26829,Alaskan ultramafic
0.023703828,12.305173,Alaskan ultramafic
0.03353257,12.301372,Alaskan ultramafic
-0.05080995,12.269776,Alaskan ultramafic
-0.024319343,12.343769,Alaskan ultramafic
-0.050095744,12.333388,Alaskan ultramafic
0.0169514,12.334192,Alaskan ultramafic
-0.06607404,12.347475,Alaskan ultramafic
-0.017507426,12.352735,Alaskan ultramafic
-0.23477574,12.348388,Alaskan ultramafic
0.56934226,11.7300825,Alaskan ultramafic
0.57077014,11.720603,Alaskan ultramafic
0.5481326,11.710498,Alaskan ultramafic
0.59577763,11.732132,Alaskan ultramafic
0.58583367,11.7336235,Alaskan ultramafic
0.5102551,11.770623,Alaskan ultramafic
0.5964516,11.70672,Alaskan ultramafic
0.5739379,11.7438965,Alaskan ultramafic
0.60867625,11.721432,Alaskan ultramafic
0.5817563,11.737487,Alaskan ultramafic
0.09698959,12.234163,Alaskan ultramafic
0.13907126,12.241225,Alaskan ultramafic
0.11427348,12.173887,Alaskan ultramafic
-0.054825313,12.346149,Alaskan ultramafic
0.13529907,12.20934,Alaskan ultramafic
-0.066621825,12.400933,Alaskan ultramafic
0.1817468,12.147896,Alaskan ultramafic
0.1388336,12.169363,Alaskan ultramafic
0.2390596,11.948497,Alaskan ultramafic
0.13734847,12.134464,Alaskan ultramafic
0.05330652,11.938558,Alaskan ultramafic
-0.19658077,11.819905,Alaskan ultramafic
-0.020617777,12.2239685,Alaskan ultramafic
-0.17757903,11.828911,Alaskan ultramafic
0.014234507,12.31639,Alaskan ultramafic
0.8796948,11.534241,Alaskan ultramafic
0.88925403,11.52055,Alaskan ultramafic
0.9072362,11.507834,Alaskan ultramafic
0.8772659,11.532136,Alaskan ultramafic
0.88999987,11.52993,Alaskan ultramafic
1.2526766,11.159741,Alaskan ultramafic
1.2258091,11.198786,Alaskan ultramafic
0.9966287,11.422704,Alaskan ultramafic
0.9479514,11.479209,Alaskan ultramafic
-0.75994074,2.8182309,Alaskan ultramafic
1.2368748,11.18773,Alaskan ultramafic
1.2461184,11.165492,Alaskan ultramafic
1.2440464,11.173297,Alaskan ultramafic
-0.24585116,11.765885,Alaskan ultramafic
-0.25834778,11.776259,Alaskan ultramafic
-0.2302959,11.670844,Alaskan ultramafic
-0.23046786,11.70303,Alaskan ultramafic
-0.2624144,11.855979,Alaskan ultramafic
-0.30285385,11.948356,Alaskan ultramafic
-0.22509141,11.305837,Alaskan ultramafic
-0.2268766,11.305875,Alaskan ultramafic
-0.22580032,11.324513,Alaskan ultramafic
-0.22339259,11.293936,Alaskan ultramafic
-0.20080806,11.437341,Alaskan ultramafic
-0.21945445,11.461634,Alaskan ultramafic
-0.22202997,11.307252,Alaskan ultramafic
-0.22041823,11.318557,Alaskan ultramafic
-0.22374037,11.335495,Alaskan ultramafic
-0.15451343,11.799992,Alaskan ultramafic
-0.5312751,12.250502,Alaskan ultramafic
-0.5655278,12.295306,Alaskan ultramafic
-0.5433548,12.248882,Alaskan ultramafic
-0.5484733,12.238916,Alaskan ultramafic
-0.5555497,12.23573,Alaskan ultramafic
-0.3439205,11.942054,Alaskan ultramafic
-0.4369905,12.071184,Alaskan ultramafic
-0.36985442,11.960248,Alaskan ultramafic
-0.48515892,12.025958,Alaskan ultramafic
-0.77639997,2.8569534,Alaskan ultramafic
-0.47786334,12.150443,Alaskan ultramafic
-0.54555094,12.234868,Alaskan ultramafic
-0.579847,12.256572,Alaskan ultramafic
-0.555485,12.244682,Alaskan ultramafic
-0.54357195,12.2584715,Alaskan ultramafic
-0.5375913,12.248141,Alaskan ultramafic
-0.42026898,12.3419485,Alaskan ultramafic
-0.4041351,12.30164,Alaskan ultramafic
-0.45700964,12.31122,Alaskan ultramafic
-0.29131705,12.3010435,Alaskan ultramafic
-0.46201128,12.275933,Alaskan ultramafic
-0.32070374,11.857852,Alaskan ultramafic
-0.54774356,12.293005,Alaskan ultramafic
-0.34902105,12.009416,Alaskan ultramafic
-0.28158492,11.797779,Alaskan ultramafic
-0.45797813,12.283623,Alaskan ultramafic
-0.54619145,12.25658,Alaskan ultramafic
-0.51914847,12.206842,Alaskan ultramafic
-0.206974,11.714115,Alaskan ultramafic
-0.33552945,11.858886,Alaskan ultramafic
-0.23397468,11.743906,Alaskan ultramafic
-0.20901793,11.68719,Alaskan ultramafic
-0.35613775,11.318578,Alaskan ultramafic
-0.23737304,11.407465,Alaskan ultramafic
-0.34614238,11.954914,Alaskan ultramafic
-0.35617647,11.976401,Alaskan ultramafic
-0.30463612,11.919981,Alaskan ultramafic
-0.2638719,11.87944,Alaskan ultramafic
-0.3400239,11.937844,Alaskan ultramafic
-0.3421841,11.838331,Alaskan ultramafic
-0.5512154,12.205813,Alaskan ultramafic
0.42105547,9.667515,Alaskan ultramafic
-0.31693202,11.827678,Alaskan ultramafic
-0.55021626,12.159796,Alaskan ultramafic
-0.3737033,12.004547,Alaskan ultramafic
-0.51006943,12.201142,Alaskan ultramafic
-0.5492514,12.242382,Alaskan ultramafic
0.61693376,9.671435,Alaskan ultramafic
-0.24274994,11.516133,Alaskan ultramafic
-0.23149231,11.630082,Alaskan ultramafic
-0.23926666,11.400372,Alaskan ultramafic
-0.24846508,11.447816,Alaskan ultramafic
-0.25160453,11.490508,Alaskan ultramafic
-0.40656927,11.979569,Alaskan ultramafic
-0.23190837,11.559075,Alaskan ultramafic
-0.4811874,12.119397,Alaskan ultramafic
-0.5168579,12.257116,Alaskan ultramafic
-0.51276135,12.248345,Alaskan ultramafic
-0.43225405,12.139873,Alaskan ultramafic
0.47785434,9.725921,Alaskan ultramafic
-0.54472786,12.285629,Alaskan ultramafic
0.48460937,9.846105,Alaskan ultramafic
-0.5575721,12.192679,Alaskan ultramafic
0.50489753,9.746079,Alaskan ultramafic
-0.5369326,12.218551,Alaskan ultramafic
-0.45655933,12.282752,Alaskan ultramafic
-0.4921107,12.293355,Alaskan ultramafic
15.194146,-2.4722064,Alaskan ultramafic
-0.52348655,12.2933035,Alaskan ultramafic
-0.44990647,12.21221,Alaskan ultramafic
-0.5864429,12.213988,Alaskan ultramafic
-0.44716373,12.137735,Alaskan ultramafic
-3.129515,4.9609356,Alaskan ultramafic
-3.724419,5.036542,Alaskan ultramafic
-1.5292466,5.5008383,Alaskan ultramafic
-1.5540742,5.510836,Alaskan ultramafic
-1.5312451,5.5348215,Alaskan ultramafic
-2.8574152,1.6493778,Alaskan ultramafic
-3.2015395,1.6256078,Alaskan ultramafic
-3.127184,1.6391762,Alaskan ultramafic
1.9062885,-2.7822177,Alaskan ultramafic
-2.7382329,1.6545763,Alaskan ultramafic
-2.9904852,1.4536902,Alaskan ultramafic
-3.171361,1.5812451,Alaskan ultramafic
-3.3226783,1.7607783,Alaskan ultramafic
-3.2060165,1.5790731,Alaskan ultramafic
-3.0898142,1.5516868,Alaskan ultramafic
-3.083355,1.4977086,Alaskan ultramafic
-3.5732255,0.91253126,Alaskan ultramafic
-2.4565718,-0.7090203,Alaskan ultramafic
-3.4414403,1.872097,Alaskan ultramafic
2.3164823,6.765084,Alaskan ultramafic
-3.4974291,1.9922763,Alaskan ultramafic
2.2244866,6.6892533,Alaskan ultramafic
-3.4449122,1.9562854,Alaskan ultramafic
2.3648465,6.7859607,Alaskan ultramafic
2.3240705,6.7455535,Alaskan ultramafic
-3.0431693,1.5836905,Alaskan ultramafic
-3.1196682,1.5602307,Alaskan ultramafic
1.3320847,-2.7380702,Alaskan ultramafic
-1.2339191,-1.7088785,Alaskan ultramafic
-1.1222332,-1.6847733,Alaskan ultramafic
1.0363365,-2.4100566,Alaskan ultramafic
-0.5197451,-1.4181321,Alaskan ultramafic
-0.67805964,-1.4598476,Alaskan ultramafic
-1.045619,-1.7275798,Alaskan ultramafic
-0.9712506,-1.6222225,Alaskan ultramafic
-1.0055752,-1.6464139,Alaskan ultramafic
-2.1048992,-1.033543,Alaskan ultramafic
-1.1504679,-1.6896896,Alaskan ultramafic
-1.3491889,-1.7820309,Alaskan ultramafic
0.4949787,-1.7342136,Alaskan ultramafic
-0.62181073,-1.3112813,Alaskan ultramafic
-1.3977183,-1.7476625,Alaskan ultramafic
-0.49918652,-1.4279252,Alaskan ultramafic
-0.5136523,-1.1069148,Alaskan ultramafic
-0.40592998,-1.3649327,Alaskan ultramafic
-1.458647,-1.7723916,Alaskan ultramafic
0.5412264,-1.8377029,Alaskan ultramafic
-0.6380619,-1.4406184,Alaskan ultramafic
-0.66548973,-1.4856539,Alaskan ultramafic
-2.5104942,-1.3665893,Alaskan ultramafic
-2.360159,-2.6247244,Alaskan ultramafic
-2.4739773,-1.3774586,Alaskan ultramafic
-2.481159,-1.3712785,Alaskan ultramafic
-2.3158753,-2.5974865,Alaskan ultramafic
-2.5289102,-1.4674239,Alaskan ultramafic
-2.2472987,-1.2976141,Alaskan ultramafic
-0.2181818,-1.0185916,Alaskan ultramafic
-0.34152076,-1.1244905,Alaskan ultramafic
-0.57878983,-0.1303726,Alaskan ultramafic
-2.039598,-0.96371955,Alaskan ultramafic
-0.9667961,0.24465671,Alaskan ultramafic
-2.1836164,-1.1871443,Alaskan ultramafic
-0.19516899,-0.52733237,Alaskan ultramafic
-0.07212892,-1.0865705,Alaskan ultramafic
-0.09554263,-1.0376145,Alaskan ultramafic
-0.15341577,-1.0223399,Alaskan ultramafic
-0.12243093,-0.9854195,Alaskan ultramafic
-0.109925695,-0.89532226,Alaskan ultramafic
2.6879976,-0.6539859,Alaskan ultramafic
-0.11729873,-0.7747587,Alaskan ultramafic
-1.8303229,-0.49282932,Alaskan ultramafic
2.9803593,-1.9033905,Alaskan ultramafic
2.9050899,-2.437862,Alaskan ultramafic
-0.10020371,-0.7663957,Alaskan ultramafic
-2.5421755,-1.5190591,Alaskan ultramafic
-2.5499945,-1.5758594,Alaskan ultramafic
-2.5169194,-1.3755184,Alaskan ultramafic
-2.4487197,-2.56776,Alaskan ultramafic
-2.5447948,-1.4928296,Alaskan ultramafic
-2.3916728,-2.6591706,Alaskan ultramafic
-2.5379415,-1.5172048,Alaskan ultramafic
-2.1325908,-1.0367424,Alaskan ultramafic
-2.1016314,-1.1036441,Alaskan ultramafic
0.55777043,-1.8164873,Alaskan ultramafic
-2.1023984,-1.044519,Alaskan ultramafic
-0.45753813,-0.102380425,Alaskan ultramafic
-0.23539162,-0.35198805,Alaskan ultramafic
2.2302964,-1.3397113,Alaskan ultramafic
-0.40665898,-0.15475287,Alaskan ultramafic
-0.44948068,-0.15613055,Alaskan ultramafic
-1.0085651,-0.18962637,Alaskan ultramafic
-0.3763807,-0.1792899,Alaskan ultramafic
4.396415,-6.7733192,Alkali/Lamprophyres
4.070263,-6.8271527,Alkali/Lamprophyres
3.3982062,-6.949392,Alkali/Lamprophyres
3.648427,-6.9246197,Alkali/Lamprophyres
3.6254385,-6.89479,Alkali/Lamprophyres
3.2718873,-6.853909,Alkali/Lamprophyres
3.939841,-6.694079,Alkali/Lamprophyres
10.9154005,-12.185098,Alkali/Lamprophyres
14.692826,0.34733698,Alkali/Lamprophyres
14.806739,0.4591277,Alkali/Lamprophyres
12.738909,8.235765,Alkali/Lamprophyres
15.516036,-2.689915,Alkali/Lamprophyres
11.83567,7.37321,Alkali/Lamprophyres
-0.08968431,11.52093,Alkali/Lamprophyres
11.623879,7.724255,Alkali/Lamprophyres
15.6315365,-2.7962334,Alkali/Lamprophyres
12.817601,8.314351,Alkali/Lamprophyres
3.9142647,2.3862207,Alkali/Lamprophyres
4.409344,-4.1410666,Alkali/Lamprophyres
2.660817,-4.25494,Alkali/Lamprophyres
15.308391,-2.4085464,Alkali/Lamprophyres
4.157795,-2.682565,Alkali/Lamprophyres
3.6181185,-6.668913,Alkali/Lamprophyres
8.561481,-0.87933934,Alkali/Lamprophyres
13.597909,1.8552169,Alkali/Lamprophyres
13.649634,1.8849778,Alkali/Lamprophyres
5.1925526,1.2602862,Alkali/Lamprophyres
5.4150887,-3.6075397,Alkali/Lamprophyres
8.474361,-0.5706533,Alkali/Lamprophyres
8.301933,-3.5244465,Alkali/Lamprophyres
8.217609,-3.3859215,Alkali/Lamprophyres
7.7937303,-3.282676,Alkali/Lamprophyres
4.707073,-4.515091,Alkali/Lamprophyres
18.493391,-3.9226382,Alkali/Lamprophyres
8.616009,-0.55023754,Alkali/Lamprophyres
8.517615,-0.55638343,Alkali/Lamprophyres
8.553618,-11.3007,Alkali/Lamprophyres
8.459083,-1.5861845,Alkali/Lamprophyres
13.042009,-5.20752,Alkali/Lamprophyres
13.788743,-4.6485844,Alkali/Lamprophyres
10.282609,-11.431528,Alkali/Lamprophyres
10.23174,-11.546576,Alkali/Lamprophyres
10.282008,-11.44256,Alkali/Lamprophyres
18.623672,-2.435201,Alkali/Lamprophyres
5.3617296,-7.153546,Alkali/Lamprophyres
6.380878,-8.459744,Alkali/Lamprophyres
4.3320374,-4.400576,Alkali/Lamprophyres
9.612415,-3.2922115,Alkali/Lamprophyres
4.418764,-4.4635468,Alkali/Lamprophyres
6.3911877,-8.326114,Alkali/Lamprophyres
3.7834806,-2.0906765,Alkali/Lamprophyres
5.3596797,-6.4551616,Alkali/Lamprophyres
2.275171,-7.018237,Alkali/Lamprophyres
4.242884,-4.3850546,Alkali/Lamprophyres
4.269359,-4.376604,Alkali/Lamprophyres
4.4026775,-4.430754,Alkali/Lamprophyres
4.177827,-4.412111,Alkali/Lamprophyres
6.236386,-8.702558,Alkali/Lamprophyres
5.9514093,-7.659041,Alkali/Lamprophyres
9.858593,-0.69908047,Alkali/Lamprophyres
10.019275,0.55876493,Alkali/Lamprophyres
9.975436,0.4573198,Alkali/Lamprophyres
8.54333,-0.57107,Alkali/Lamprophyres
14.439522,-4.983441,Alkali/Lamprophyres
14.470793,-5.0316176,Alkali/Lamprophyres
17.946018,-2.8012006,Alkali/Lamprophyres
9.278594,5.696454,Alkali/Lamprophyres
9.204004,-11.703482,Alkali/Lamprophyres
5.474859,-5.4253893,Alkali/Lamprophyres
14.832371,-2.4967747,Alkali/Lamprophyres
10.060955,-11.892574,Alkali/Lamprophyres
10.1348715,-11.846576,Alkali/Lamprophyres
10.634898,-12.434137,Alkali/Lamprophyres
7.957356,-9.771907,Alkali/Lamprophyres
4.447044,-4.408523,Alkali/Lamprophyres
4.3984327,-4.3859153,Alkali/Lamprophyres
8.284968,-3.499946,Alkali/Lamprophyres
9.687953,-2.9284656,Alkali/Lamprophyres
6.0120964,-7.8350444,Alkali/Lamprophyres
5.2997427,-7.074894,Alkali/Lamprophyres
8.394765,-0.5515013,Alkali/Lamprophyres
5.445333,-6.8411837,Alkali/Lamprophyres
5.5303836,-6.6742363,Alkali/Lamprophyres
8.519334,-0.8299511,Alkali/Lamprophyres
5.0047565,-7.000761,Alkali/Lamprophyres
5.2434735,-6.726072,Alkali/Lamprophyres
8.361066,-0.5562737,Alkali/Lamprophyres
5.9712906,-7.707458,Alkali/Lamprophyres
4.0794816,-6.3904424,Alkali/Lamprophyres
3.406819,-6.9805255,Alkali/Lamprophyres
7.8764772,-10.953885,Alkali/Lamprophyres
7.271556,-9.83291,Alkali/Lamprophyres
9.825709,-12.823736,Alkali/Lamprophyres
7.1286197,-9.505048,Alkali/Lamprophyres
8.399494,-3.5485377,Alkali/Lamprophyres
4.7383714,-4.6475143,Alkali/Lamprophyres
20.72094,8.606423,Alkali/Lamprophyres
4.678617,-3.5888503,Alkali/Lamprophyres
5.2393417,-5.040507,Alkali/Lamprophyres
13.516258,1.5080055,Alkali/Lamprophyres
9.893846,-0.6771853,Alkali/Lamprophyres
5.5211167,-5.504624,Alkali/Lamprophyres
12.259067,1.0919422,Alkali/Lamprophyres
8.601204,-4.1312613,Alkali/Lamprophyres
5.48526,-5.478394,Alkali/Lamprophyres
8.35385,-3.4760885,Alkali/Lamprophyres
5.019754,-4.918357,Alkali/Lamprophyres
8.422248,-0.55173314,Alkali/Lamprophyres
4.98349,-4.8414497,Alkali/Lamprophyres
6.99977,3.3836737,Alkali/Lamprophyres
3.694239,-6.8399734,Alkali/Lamprophyres
5.131236,-3.4715781,Alkali/Lamprophyres
4.9654455,-3.5376966,Alkali/Lamprophyres
5.384727,-3.555384,Alkali/Lamprophyres
5.405072,-3.486543,Alkali/Lamprophyres
5.3658614,-3.5184278,Alkali/Lamprophyres
5.3529177,-3.516879,Alkali/Lamprophyres
5.374304,-3.5598779,Alkali/Lamprophyres
5.4083695,-3.39316,Alkali/Lamprophyres
5.363168,-3.4620779,Alkali/Lamprophyres
16.08622,-1.4644247,Alkali/Lamprophyres
-2.3293386,-1.1115212,Alkali/Lamprophyres
-0.52423424,1.9525155,Alkali/Lamprophyres
1.9395355,-1.3532834,Alkali/Lamprophyres
4.912201,-3.4076214,Alkali/Lamprophyres
2.2101343,-1.7287557,Alkali/Lamprophyres
4.1067333,-4.0554943,Alkali/Lamprophyres
4.893103,-4.962411,Alkali/Lamprophyres
11.555097,-12.690843,Alkali/Lamprophyres
5.339459,-5.1282253,Alkali/Lamprophyres
5.9137993,-5.01065,Alkali/Lamprophyres
7.8855963,-10.966193,Alkali/Lamprophyres
6.004213,-4.6326632,Alkali/Lamprophyres
5.661276,-4.911499,Alkali/Lamprophyres
5.768796,-7.8159933,Alkali/Lamprophyres
4.3740497,-4.282611,Alkali/Lamprophyres
4.677449,-6.9070706,Alkali/Lamprophyres
0.5402912,-7.4008284,Alkali/Lamprophyres
5.276705,-5.0376883,Alkali/Lamprophyres
6.3957696,-8.512885,Alkali/Lamprophyres
2.0830946,-1.6135718,Alkali/Lamprophyres
1.2457138,-1.3821245,Alkali/Lamprophyres
-2.298927,-1.3285544,Alkali/Lamprophyres
-1.3249613,-1.7142261,Alkali/Lamprophyres
5.108838,-5.373245,Alkali/Lamprophyres
7.337604,-9.948238,Alkali/Lamprophyres
5.3780866,-6.7237864,Alkali/Lamprophyres
5.41626,-4.7912183,Alkali/Lamprophyres
5.157218,-5.362325,Alkali/Lamprophyres
8.408925,-0.57119733,Alkali/Lamprophyres
8.45656,-0.6209169,Alkali/Lamprophyres
4.008666,-4.071621,Alkali/Lamprophyres
7.7772713,-1.7581713,Alkali/Lamprophyres
4.6963024,-4.3623214,Alkali/Lamprophyres
4.942409,-5.395587,Alkali/Lamprophyres
6.7394595,4.453547,Alkali/Lamprophyres
4.3612423,-4.224546,Alkali/Lamprophyres
8.406972,-0.5263634,Alkali/Lamprophyres
4.4484673,-4.555196,Alkali/Lamprophyres
8.1522665,-3.4855864,Alkali/Lamprophyres
