umap1,umap2,cat
-1.9524187,9.870339,Alaskan ultramafic
3.3267288,5.8909855,Alaskan ultramafic
-2.7918177,9.024475,Alaskan ultramafic
2.7258406,6.724965,Alaskan ultramafic
8.253405,-4.833202,Alaskan ultramafic
4.2320423,6.1528616,Alaskan ultramafic
-2.7781034,9.038029,Alaskan ultramafic
2.8974586,6.446298,Alaskan ultramafic
3.6337004,7.0381837,Alaskan ultramafic
4.3955307,6.255161,Alaskan ultramafic
8.121943,-4.6600223,Alaskan ultramafic
-2.8005419,9.010996,Alaskan ultramafic
3.5155985,5.8982687,Alaskan ultramafic
2.5975256,6.851328,Alaskan ultramafic
2.51465,6.9919906,Alaskan ultramafic
8.317749,-4.5712776,Alaskan ultramafic
8.543335,-4.488738,Alaskan ultramafic
8.566636,-4.482713,Alaskan ultramafic
8.532407,-4.5400047,Alaskan ultramafic
8.3251095,-4.600548,Alaskan ultramafic
3.467097,5.7461486,Alaskan ultramafic
8.188008,-4.727829,Alaskan ultramafic
8.170785,-4.7065616,Alaskan ultramafic
-7.2292247,4.011576,Alaskan ultramafic
8.167749,-4.587127,Alaskan ultramafic
8.161075,-4.5776405,Alaskan ultramafic
8.1720495,-4.586915,Alaskan ultramafic
-2.7985938,9.013213,Alaskan ultramafic
-2.8040128,9.006626,Alaskan ultramafic
-2.8113139,8.997768,Alaskan ultramafic
-7.1258883,4.097753,Alaskan ultramafic
-2.1824555,-0.42220908,Alaskan ultramafic
-6.309779,1.6297601,Alaskan ultramafic
4.7559905,5.742979,Alaskan ultramafic
12.997597,3.832083,Alaskan ultramafic
6.475205,5.756455,Alaskan ultramafic
6.4837117,5.756282,Alaskan ultramafic
0.36807334,17.65604,Alaskan ultramafic
-7.8419266,1.7365829,Alaskan ultramafic
0.42434415,17.621222,Alaskan ultramafic
-7.8558965,1.8128914,Alaskan ultramafic
-7.600936,6.1005745,Alaskan ultramafic
-7.855858,1.7701193,Alaskan ultramafic
4.8618107,16.011745,Alaskan ultramafic
7.838645,4.5163574,Alaskan ultramafic
7.834445,4.506369,Alaskan ultramafic
5.7374177,1.0482748,Alaskan ultramafic
5.7376986,1.0487026,Alaskan ultramafic
8.069986,2.4060059,Alaskan ultramafic
8.06714,2.4238439,Alaskan ultramafic
6.659199,-9.178819,Alaskan ultramafic
-2.0696058,9.86033,Alaskan ultramafic
-2.0881267,9.833178,Alaskan ultramafic
6.21347,-9.286604,Alaskan ultramafic
6.204362,-9.337647,Alaskan ultramafic
-2.166566,9.781949,Alaskan ultramafic
9.238921,3.4402564,Alaskan ultramafic
7.2349935,-8.937181,Alaskan ultramafic
7.2143893,-8.994303,Alaskan ultramafic
7.2304263,-8.950455,Alaskan ultramafic
9.223936,3.4438534,Alaskan ultramafic
9.204187,3.4361331,Alaskan ultramafic
7.3812165,-9.032352,Alaskan ultramafic
2.530625,6.715389,Alaskan ultramafic
6.9715314,-9.107106,Alaskan ultramafic
9.210934,3.4396987,Alaskan ultramafic
13.764765,3.2713022,Alaskan ultramafic
13.652737,3.3230033,Alaskan ultramafic
13.790066,3.2024415,Alaskan ultramafic
13.152719,3.7077637,Alaskan ultramafic
13.003148,3.705917,Alaskan ultramafic
12.981817,3.640716,Alaskan ultramafic
13.39238,3.5016277,Alaskan ultramafic
13.108083,3.6817312,Alaskan ultramafic
13.152116,3.7319403,Alaskan ultramafic
12.982021,3.7533987,Alaskan ultramafic
14.172362,7.34692,Alaskan ultramafic
14.379202,5.3993382,Alaskan ultramafic
12.62326,5.1505375,Alaskan ultramafic
12.949051,4.934141,Alaskan ultramafic
12.65553,5.086854,Alaskan ultramafic
12.877068,4.955694,Alaskan ultramafic
11.966192,5.1410265,Alaskan ultramafic
11.78893,5.097543,Alaskan ultramafic
11.956231,5.1516623,Alaskan ultramafic
12.338436,5.1433516,Alaskan ultramafic
14.36624,5.4286995,Alaskan ultramafic
14.330312,5.3935394,Alaskan ultramafic
12.031969,5.1534877,Alaskan ultramafic
14.157035,7.3689055,Alaskan ultramafic
14.088282,7.4214773,Alaskan ultramafic
12.097144,5.1516705,Alaskan ultramafic
12.825123,4.9981966,Alaskan ultramafic
11.975624,5.138435,Alaskan ultramafic
11.99233,5.1438975,Alaskan ultramafic
12.773256,5.0619206,Alaskan ultramafic
12.33154,5.1463337,Alaskan ultramafic
12.012327,5.144359,Alaskan ultramafic
14.379254,5.4257445,Alaskan ultramafic
11.659002,5.095824,Alaskan ultramafic
12.109208,5.1551995,Alaskan ultramafic
11.623061,5.0927215,Alaskan ultramafic
11.538348,5.0745635,Alaskan ultramafic
11.598405,5.0762196,Alaskan ultramafic
12.006208,5.145499,Alaskan ultramafic
11.53179,5.077392,Alaskan ultramafic
11.627667,5.0938954,Alaskan ultramafic
11.652486,5.111974,Alaskan ultramafic
11.568035,5.078627,Alaskan ultramafic
11.721101,5.1087136,Alaskan ultramafic
12.132326,5.1421733,Alaskan ultramafic
12.1362,5.1273775,Alaskan ultramafic
11.644258,5.0905895,Alaskan ultramafic
11.878557,5.071837,Alaskan ultramafic
11.584835,5.0743594,Alaskan ultramafic
11.590975,5.0809793,Alaskan ultramafic
11.905171,5.1326313,Alaskan ultramafic
12.020078,5.147798,Alaskan ultramafic
9.245955,3.4248421,Alaskan ultramafic
7.60967,5.1804867,Alaskan ultramafic
12.369597,5.1492577,Alaskan ultramafic
12.049758,5.13613,Alaskan ultramafic
6.1656275,-9.336529,Alaskan ultramafic
6.1683226,-9.318092,Alaskan ultramafic
-2.1239243,9.806343,Alaskan ultramafic
6.2442646,-9.356607,Alaskan ultramafic
6.2415514,-9.28662,Alaskan ultramafic
6.268263,-9.29926,Alaskan ultramafic
