umap1,umap2,cat
13.500108,0.50194365,Alaskan ultramafic
13.569156,0.43663338,Alaskan ultramafic
8.484706,13.118734,Alaskan ultramafic
13.587383,0.42128068,Alaskan ultramafic
13.559153,0.4439615,Alaskan ultramafic
13.612369,0.46439642,Alaskan ultramafic
8.4853115,13.115222,Alaskan ultramafic
13.577223,0.4273415,Alaskan ultramafic
13.582885,0.4204105,Alaskan ultramafic
13.55468,0.45026624,Alaskan ultramafic
13.558346,0.44545048,Alaskan ultramafic
8.49486,13.118805,Alaskan ultramafic
13.497209,0.5025489,Alaskan ultramafic
13.588876,0.40496802,Alaskan ultramafic
13.595304,0.39946854,Alaskan ultramafic
13.482481,0.5187512,Alaskan ultramafic
13.480924,0.5167517,Alaskan ultramafic
13.479982,0.5203971,Alaskan ultramafic
13.479643,0.5195849,Alaskan ultramafic
13.477845,0.5216678,Alaskan ultramafic
13.462562,0.53833574,Alaskan ultramafic
13.486521,0.5143009,Alaskan ultramafic
13.47573,0.5248753,Alaskan ultramafic
21.059282,12.695034,Alaskan ultramafic
7.209586,-4.9309273,Alaskan ultramafic
7.1997094,-4.9279613,Alaskan ultramafic
7.1989985,-4.9276185,Alaskan ultramafic
21.122068,12.674867,Alaskan ultramafic
21.120354,12.675698,Alaskan ultramafic
21.09733,12.683012,Alaskan ultramafic
21.075916,12.690215,Alaskan ultramafic
5.135933,14.644951,Alaskan ultramafic
5.007062,14.52853,Alaskan ultramafic
1.9956255,-2.9327464,Alaskan ultramafic
2.481819,-0.3917178,Alaskan ultramafic
12.069839,1.3676875,Alaskan ultramafic
17.489237,4.856832,Alaskan ultramafic
9.31919,13.860097,Alaskan ultramafic
12.8993435,10.631218,Alaskan ultramafic
9.3071375,13.854102,Alaskan ultramafic
12.897029,10.631597,Alaskan ultramafic
3.8580992,17.44927,Alaskan ultramafic
12.893052,10.632805,Alaskan ultramafic
16.186995,15.489762,Alaskan ultramafic
13.511994,0.48964706,Alaskan ultramafic
13.495709,0.5056725,Alaskan ultramafic
13.508268,0.48959294,Alaskan ultramafic
13.486311,0.51400685,Alaskan ultramafic
13.576175,0.41807038,Alaskan ultramafic
13.609296,0.38331708,Alaskan ultramafic
13.562266,0.43248683,Alaskan ultramafic
13.596544,0.4132908,Alaskan ultramafic
13.573501,0.4207096,Alaskan ultramafic
13.597474,0.42031395,Alaskan ultramafic
1.7333785,7.725424,Alaskan ultramafic
1.7514527,7.722517,Alaskan ultramafic
13.480946,0.5181585,Alaskan ultramafic
13.4792595,0.5186639,Alaskan ultramafic
1.7382139,7.7264996,Alaskan ultramafic
1.7340833,7.7207513,Alaskan ultramafic
21.832039,12.143325,Alaskan ultramafic
1.7351888,7.726788,Alaskan ultramafic
13.575852,0.419117,Alaskan ultramafic
1.7412022,7.725245,Alaskan ultramafic
14.456191,6.056722,Alaskan ultramafic
14.452352,6.057404,Alaskan ultramafic
14.455804,6.0568767,Alaskan ultramafic
14.445152,6.069376,Alaskan ultramafic
14.448954,6.067765,Alaskan ultramafic
14.445938,6.070212,Alaskan ultramafic
14.443022,6.0688825,Alaskan ultramafic
14.444737,6.0702047,Alaskan ultramafic
14.444072,6.07029,Alaskan ultramafic
14.445186,6.0701547,Alaskan ultramafic
6.763853,2.8518965,Alaskan ultramafic
12.061872,1.3721205,Alaskan ultramafic
12.0833025,1.3956547,Alaskan ultramafic
