umap1,umap2,cat
17.041697,6.360977,Alaskan ultramafic
10.981772,8.524396,Alaskan ultramafic
7.1396823,-2.5317333,Alaskan ultramafic
10.958023,8.540916,Alaskan ultramafic
10.998935,8.515375,Alaskan ultramafic
10.959927,8.531826,Alaskan ultramafic
7.141351,-2.5106122,Alaskan ultramafic
10.953754,8.549932,Alaskan ultramafic
10.963843,8.536688,Alaskan ultramafic
10.96727,8.5396805,Alaskan ultramafic
11.018732,8.507599,Alaskan ultramafic
7.1389475,-2.4946434,Alaskan ultramafic
17.086082,6.351707,Alaskan ultramafic
10.986303,8.56389,Alaskan ultramafic
10.980123,8.556445,Alaskan ultramafic
17.090036,6.33556,Alaskan ultramafic
17.090794,6.3274736,Alaskan ultramafic
17.102106,6.3305736,Alaskan ultramafic
17.100164,6.3369546,Alaskan ultramafic
17.094883,6.333772,Alaskan ultramafic
17.074463,6.316798,Alaskan ultramafic
17.087706,6.332522,Alaskan ultramafic
17.096815,6.3366094,Alaskan ultramafic
7.027219,4.5563903,Alaskan ultramafic
19.107012,7.792284,Alaskan ultramafic
19.10698,7.7878375,Alaskan ultramafic
19.104355,7.7927713,Alaskan ultramafic
6.993761,4.5242367,Alaskan ultramafic
7.008258,4.5451083,Alaskan ultramafic
7.000601,4.531141,Alaskan ultramafic
7.015268,4.5476007,Alaskan ultramafic
2.9513037,-2.955065,Alaskan ultramafic
2.8634245,-2.7701228,Alaskan ultramafic
14.366027,12.308184,Alaskan ultramafic
15.29914,9.442879,Alaskan ultramafic
12.04281,8.2904825,Alaskan ultramafic
13.199009,2.8042586,Alaskan ultramafic
11.54066,4.753669,Alaskan ultramafic
8.946686,5.6181,Alaskan ultramafic
11.547925,4.7717924,Alaskan ultramafic
8.943947,5.620297,Alaskan ultramafic
11.569161,4.790579,Alaskan ultramafic
8.94544,5.623873,Alaskan ultramafic
19.411852,-3.6223009,Alaskan ultramafic
17.134409,6.3604455,Alaskan ultramafic
17.121078,6.350329,Alaskan ultramafic
17.134565,6.3573422,Alaskan ultramafic
17.110891,6.346327,Alaskan ultramafic
11.015347,8.579638,Alaskan ultramafic
11.005342,8.572842,Alaskan ultramafic
11.011509,8.571886,Alaskan ultramafic
10.961914,8.536938,Alaskan ultramafic
11.011286,8.579491,Alaskan ultramafic
10.94686,8.528073,Alaskan ultramafic
4.1359415,5.435844,Alaskan ultramafic
4.154481,5.4390397,Alaskan ultramafic
17.109047,6.351912,Alaskan ultramafic
17.0809,6.3407073,Alaskan ultramafic
4.1179338,5.4504747,Alaskan ultramafic
4.117081,5.4484596,Alaskan ultramafic
-8.016855,-2.9002373,Alaskan ultramafic
4.0961156,5.4584336,Alaskan ultramafic
11.021349,8.574315,Alaskan ultramafic
4.1362023,5.4393253,Alaskan ultramafic
14.200008,0.69415706,Alaskan ultramafic
14.210714,0.683411,Alaskan ultramafic
14.201489,0.6910968,Alaskan ultramafic
14.261642,0.5778136,Alaskan ultramafic
14.260643,0.5711388,Alaskan ultramafic
14.255844,0.5746722,Alaskan ultramafic
14.249778,0.61619085,Alaskan ultramafic
14.259671,0.58030665,Alaskan ultramafic
14.260651,0.5812548,Alaskan ultramafic
14.261603,0.57885593,Alaskan ultramafic
11.802062,9.021803,Alaskan ultramafic
12.045153,8.282173,Alaskan ultramafic
12.033284,8.255785,Alaskan ultramafic
12.058619,8.272117,Alaskan ultramafic
12.068827,8.277451,Alaskan ultramafic
12.086747,8.292727,Alaskan ultramafic
11.9147,8.18343,Alaskan ultramafic
11.897999,8.175726,Alaskan ultramafic
11.905042,8.179084,Alaskan ultramafic
12.021723,8.237784,Alaskan ultramafic
12.054382,8.285879,Alaskan ultramafic
12.061437,8.281151,Alaskan ultramafic
11.977758,8.22127,Alaskan ultramafic
11.802317,9.0518875,Alaskan ultramafic
11.793427,9.05173,Alaskan ultramafic
12.068051,8.176035,Alaskan ultramafic
12.045581,8.2755575,Alaskan ultramafic
11.920277,8.177068,Alaskan ultramafic
11.9887705,8.229107,Alaskan ultramafic
12.097563,8.297003,Alaskan ultramafic
12.0182085,8.254842,Alaskan ultramafic
11.951627,8.2059965,Alaskan ultramafic
12.053089,8.281692,Alaskan ultramafic
11.825235,8.134828,Alaskan ultramafic
11.987621,8.229424,Alaskan ultramafic
11.794141,8.117339,Alaskan ultramafic
11.708857,8.069327,Alaskan ultramafic
11.762981,8.095151,Alaskan ultramafic
11.9820385,8.230891,Alaskan ultramafic
11.646796,8.00938,Alaskan ultramafic
11.797254,8.119904,Alaskan ultramafic
11.746896,8.093182,Alaskan ultramafic
11.725641,8.079428,Alaskan ultramafic
11.891517,8.171793,Alaskan ultramafic
11.988487,8.233261,Alaskan ultramafic
11.982751,8.224582,Alaskan ultramafic
11.809596,8.11915,Alaskan ultramafic
11.865093,8.166915,Alaskan ultramafic
11.742414,8.073245,Alaskan ultramafic
11.782553,8.112739,Alaskan ultramafic
11.913387,8.205861,Alaskan ultramafic
11.939468,8.193486,Alaskan ultramafic
3.2978728,19.558083,Alaskan ultramafic
12.016615,8.251499,Alaskan ultramafic
12.013808,8.246036,Alaskan ultramafic
11.912845,8.171456,Alaskan ultramafic
-7.74972,-3.169735,Alaskan ultramafic
-7.576932,-3.3411183,Alaskan ultramafic
-7.788104,-3.1304326,Alaskan ultramafic
-7.6135263,-3.3044496,Alaskan ultramafic
-7.725074,-3.1943161,Alaskan ultramafic
-7.55299,-3.3646946,Alaskan ultramafic
-7.8715453,-3.046115,Alaskan ultramafic
-7.673243,-3.2453213,Alaskan ultramafic
-7.7280836,-3.1905143,Alaskan ultramafic
-7.818426,-3.0994442,Alaskan ultramafic
-7.8540664,-3.0589423,Alaskan ultramafic
-7.8784957,-3.0395653,Alaskan ultramafic
-7.615336,-3.2722654,Alaskan ultramafic
-7.7174597,-3.1686907,Alaskan ultramafic
-7.57349,-3.3447533,Alaskan ultramafic
-7.5770307,-3.3414004,Alaskan ultramafic
14.668653,2.0219162,Alaskan ultramafic
14.674356,2.0119238,Alaskan ultramafic
14.674628,2.0147684,Alaskan ultramafic
14.649032,2.0323014,Alaskan ultramafic
-8.031646,-2.8803403,Alaskan ultramafic
-8.035906,-2.8818328,Alaskan ultramafic
-8.0492,-2.8675492,Alaskan ultramafic
-8.018206,-2.8981745,Alaskan ultramafic
-7.6598024,-3.2589788,Alaskan ultramafic
-7.354864,-3.49794,Alaskan ultramafic
-7.6254,-3.2933285,Alaskan ultramafic
-7.5042276,-3.4127178,Alaskan ultramafic
-7.7982535,-3.1222842,Alaskan ultramafic
-7.793663,-3.1266282,Alaskan ultramafic
-7.820355,-3.101712,Alaskan ultramafic
-7.6331415,-3.2855852,Alaskan ultramafic
-7.7559342,-3.1647246,Alaskan ultramafic
-7.7759275,-3.1439574,Alaskan ultramafic
-7.719066,-3.2078452,Alaskan ultramafic
-7.7079134,-3.2098007,Alaskan ultramafic
-7.7694416,-3.1485434,Alaskan ultramafic
-7.7225914,-3.197457,Alaskan ultramafic
-7.5933676,-3.3249192,Alaskan ultramafic
-7.394634,-3.5240657,Alaskan ultramafic
-7.57563,-3.3428965,Alaskan ultramafic
-7.4542375,-3.4609432,Alaskan ultramafic
-7.6614695,-3.2585964,Alaskan ultramafic
-7.524121,-3.3903522,Alaskan ultramafic
-7.5135345,-3.402788,Alaskan ultramafic
-7.423852,-3.485061,Alaskan ultramafic
-7.9179244,-3.0016196,Alaskan ultramafic
-7.940845,-2.977836,Alaskan ultramafic
-7.8946385,-3.023573,Alaskan ultramafic
-7.877662,-3.0417476,Alaskan ultramafic
-7.924946,-2.9926405,Alaskan ultramafic
-7.808671,-3.1113784,Alaskan ultramafic
-7.9114914,-3.007401,Alaskan ultramafic
-7.895768,-3.0238233,Alaskan ultramafic
-7.8887415,-3.0297196,Alaskan ultramafic
-7.9667025,-2.9529245,Alaskan ultramafic
-7.7381372,-3.1823514,Alaskan ultramafic
-7.760531,-3.1599689,Alaskan ultramafic
-7.7656884,-3.1553483,Alaskan ultramafic
-7.5127277,-3.4015126,Alaskan ultramafic
-7.7753716,-3.1456866,Alaskan ultramafic
